NU_ID;NU_NR;HH021;HH071_1;HH071_2;HH071_3;HH071_4;ADR_KEITE
30136800.0;301368.0;1.0;2.0;;;;NE
20036000.0;200360.0;1.0;2.0;;;;NE
30301400.0;303014.0;1.0;2.0;;;;NE
20311300.0;203113.0;1.0;2.0;;;;NE
20300200.0;203002.0;1.0;2.0;;;;NE
10002900.0;100029.0;1.0;2.0;;;;NE
40007400.0;400074.0;1.0;2.0;;;;NE
10325600.0;103256.0;1.0;2.0;;;;NE
20219500.0;202195.0;2.0;1.0;150.0;;12.0;NE
40308900.0;403089.0;1.0;2.0;;;;NE
20065600.0;200656.0;1.0;2.0;;;;NE
10305000.0;103050.0;1.0;2.0;;;;NE
20064700.0;200647.0;1.0;2.0;;;;NE
20329700.0;203297.0;1.0;2.0;;;;NE
20317000.0;203170.0;5.0;2.0;;;;NE
10121700.0;101217.0;1.0;2.0;;;;NE
30206600.0;302066.0;5.0;2.0;;;;NE
40257400.0;402574.0;1.0;2.0;;;;NE
30012200.0;300122.0;1.0;2.0;;;;NE
40307000.0;403070.0;1.0;2.0;;;;NE
40238400.0;402384.0;1.0;2.0;;;;NE
20039200.0;200392.0;5.0;2.0;;;;NE
20329900.0;203299.0;1.0;2.0;;;;NE
20096900.0;200969.0;1.0;2.0;;;;NE
20264300.0;202643.0;1.0;2.0;;;;NE
10141400.0;101414.0;1.0;2.0;;;;NE
30211600.0;302116.0;1.0;2.0;;;;NE
40148400.0;401484.0;1.0;2.0;;;;NE
30125000.0;301250.0;1.0;2.0;;;;NE
30165700.0;301657.0;5.0;2.0;;;;NE
30114200.0;301142.0;1.0;2.0;;;;NE
40091800.0;400918.0;2.0;1.0;60.0;;12.0;NE
20011600.0;200116.0;1.0;2.0;;;;NE
30219400.0;302194.0;1.0;2.0;;;;NE
10070500.0;100705.0;1.0;2.0;;;;NE
40096700.0;400967.0;1.0;2.0;;;;NE
40293500.0;402935.0;1.0;2.0;;;;NE
40330800.0;403308.0;1.0;2.0;;;;TAIP
20018700.0;200187.0;1.0;2.0;;;;NE
40345900.0;403459.0;1.0;2.0;;;;NE
10129000.0;101290.0;2.0;1.0;220.0;;12.0;NE
20134200.0;201342.0;1.0;2.0;;;;NE
30185800.0;301858.0;1.0;2.0;;;;NE
40037200.0;400372.0;2.0;1.0;;12.0;12.0;NE
10236400.0;102364.0;1.0;2.0;;;;NE
10245100.0;102451.0;1.0;2.0;;;;NE
40058100.0;400581.0;1.0;2.0;;;;NE
30284600.0;302846.0;5.0;2.0;;;;NE
30188300.0;301883.0;1.0;2.0;;;;NE
20315300.0;203153.0;1.0;2.0;;;;NE
40224800.0;402248.0;1.0;2.0;;;;NE
10165700.0;101657.0;5.0;2.0;;;;NE
40170700.0;401707.0;1.0;2.0;;;;NE
40050500.0;400505.0;1.0;2.0;;;;NE
40261300.0;402613.0;1.0;2.0;;;;NE
20115300.0;201153.0;2.0;1.0;;;12.0;NE
30251600.0;302516.0;1.0;2.0;;;;NE
10192600.0;101926.0;1.0;2.0;;;;NE
40068100.0;400681.0;1.0;2.0;;;;NE
30241300.0;302413.0;5.0;2.0;;;;NE
30229600.0;302296.0;1.0;2.0;;;;NE
20282400.0;202824.0;1.0;2.0;;;;NE
40223100.0;402231.0;1.0;2.0;;;;NE
20240800.0;202408.0;1.0;2.0;;;;NE
40264000.0;402640.0;1.0;2.0;;;;NE
40132100.0;401321.0;1.0;2.0;;;;NE
30292600.0;302926.0;1.0;2.0;;;;NE
40142600.0;401426.0;1.0;2.0;;;;NE
10082000.0;100820.0;1.0;2.0;;;;NE
20205400.0;202054.0;1.0;2.0;;;;NE
30221900.0;302219.0;1.0;2.0;;;;NE
30286800.0;302868.0;1.0;2.0;;;;NE
20078400.0;200784.0;1.0;2.0;;;;NE
10037200.0;100372.0;1.0;2.0;;;;NE
20169500.0;201695.0;1.0;2.0;;;;NE
40069200.0;400692.0;1.0;2.0;;;;NE
10188600.0;101886.0;1.0;2.0;;;;NE
30238600.0;302386.0;5.0;2.0;;;;NE
10288400.0;102884.0;1.0;2.0;;;;NE
40139800.0;401398.0;1.0;2.0;;;;NE
10053700.0;100537.0;1.0;2.0;;;;NE
10035900.0;100359.0;2.0;1.0;260.0;;12.0;NE
20018900.0;200189.0;1.0;2.0;;;;NE
